Gene,Intron,NumIntrons,GC
9008,6857,7,49.625468164794
4562,2271,14,46.9361147327249
1574,1207,2,49.0566037735849
1567,195,4,39.1236306729264
5094,3295,10,43.9870863599677
5846,4596,7,43.5114503816794
2615,1061,5,43.0155210643016
14289,10892,16,47
3166,1867,7,49.2704826038159
11049,9214,7,43.2727272727273
2027,830,7,49.7911445279866
1408,406,6,42.1157684630739
3786,1771,4,49.3614303959132
3472,1557,11,40.6704617330803
2223,601,6,41.7445482866044
1189,96,2,54.4015825914936
4899,2503,14,45.467032967033
5299,3615,5,46.8531468531469
3033,1527,6,45.8167330677291
3159,1578,4,46.8404423380727
10045,8073,7,54.3151227236738
11975,4434,35,43.9710144927536
8893,4900,10,47.7560414269275
2688,1456,8,44.661095636026
9094,7261,10,46.3175122749591
2857,799,7,52.0512820512821
9958,1309,11,47.0546885983411
1336,526,5,41.1111111111111
4638,502,11,42.5668724279835
7527,5604,8,46.7732386027235
4924,3717,5,44.3599493029151
4695,1044,16,43.4675431388661
4902,2784,9,40.5099150141643
7330,4414,15,46.6049382716049
2584,631,11,44.8028673835126
1125,627,2,53.7037037037037
1289,489,5,45.1700680272109
1543,167,4,45.0632911392405
1409,240,2,44.7212336892052
1450,304,6,36.5619546247819
4114,1528,12,40.1778808971384
5435,4016,6,48.4848484848485
2661,384,2,50.0823723228995
2786,1004,5,42.8731762065095
4627,2818,10,41.7910447761194
2128,1496,3,40.1273885350319
6491,4645,9,45.0386215092097
3654,3099,3,52.1541950113379
1504,374,1,48.8050314465409
2380,1678,2,43.1623931623932
2039,833,9,45.5223880597015
3761,2333,5,41.8067226890756
2894,1252,6,35.4838709677419
2914,1529,6,50.9413067552602
3376,2050,7,41.7797888386124
2560,656,6,46.996996996997
5796,3504,4,50.7853403141361
6833,3491,15,47.1794871794872
3011,1679,5,50.3753753753754
3318,2207,5,45.1041666666667
3797,2748,4,52.9888551165147
3618,2607,5,48.3679525222552
2803,677,4,50.9604519774011
2319,1449,3,51.4541387024609
5015,2390,18,41.0666666666667
1289,581,1,48.8700564971751
1640,171,3,46.6838931955211
1730,337,6,42.5480769230769
1344,342,7,43.812375249501
5437,2566,8,41.8967587034814
1081,357,5,44.2451420029895
16420,13751,9,48.0029861888765
2355,837,4,43.6018957345972
728,68,1,48.6111111111111
2502,895,7,44.0940012368584
4114,2653,6,39.9041752224504
5080,1876,16,39.0761548064919
8615,6020,5,53.1126871552403
1008,452,2,47.7777777777778
2999,1364,14,41.8960244648318
2205,1113,3,44.6886446886447
1042,586,2,43.859649122807
3415,2262,3,54.5267489711934
2714,1123,3,47.2727272727273
2039,653,6,37.2549019607843
1882,460,4,40.8970976253298
3089,645,7,39.2712550607287
3168,1752,2,45.0785773366419
2523,1268,2,44.0318302387268
3097,7097,6,39.4144144144144
2798,1258,7,39.4345238095238
3667,594,4,51.014791881665
3903,1953,7,44.7727272727273
1153,194,1,43.701226309922
1445,324,2,38.7417218543046
1746,958,1,42.9457364341085
1331,631,1,41.5123456790124
1038,329,1,42.7906976744186
1474,504,2,46.5737514518002
693,0,0,37.0851370851371
4359,2789,6,48.6638537271449
7414,3058,20,44.3693693693694
4971,2845,8,43.7627811860941
1760,273,4,40.1785714285714
3065,1002,10,42.0936639118457
2314,747,8,39.2648287385129
3562,1897,7,38.7909319899244
1955,719,5,47.4658869395712
5427,2556,15,44.7053976102184
3012,824,11,35.4901960784314
2061,0,0,52.2076661814653
2369,998,4,36.8136117556071
3089,981,8,40.959595959596
2222,724,4,39.9082568807339
2113,404,6,49.1720662347012
3265,1506,6,39.9274047186933
4390,2222,10,37.4821173104435
981,99,2,43.3918128654971
2937,915,10,41.5924826904055
2936,914,10,41.6419386745796
1641,202,3,37.2592592592593
5858,3131,9,43.2212028542304
2789,987,6,44.3850267379679
1506,472,5,46.2046204620462
2976,904,9,36.8181818181818
3031,1032,10,34.3520090548953
1578,455,2,49.9013806706114
1403,92,2,46.4761904761905
1663,412,2,39.9621212121212
1988,626,4,40.3817914831131
2867,798,10,35.6559949780289
2400,447,9,40.6554019457245
4940,3520,6,40.8888888888889
1988,626,4,40.3817914831131
2592,626,6,40.2168021680217
1328,747,2,50.4930966469428
12039,3164,7,44.8748442632235
5369,3361,11,36.9509043927649
1667,553,5,42.483660130719
1236,261,4,43.5714285714286
3850,1887,5,44.831223628692
28149,4850,29,39.3740057612107
2898,1768,6,43.1818181818182
3163,1097,11,35.8668653750621
2285,633,5,42.1492921492922
979,148,2,40.7103825136612
1963,538,2,44.1595441595442
2984,1827,4,40.6349206349206
1666,151,3,42.5764192139738
2027,276,3,41.0766961651917
1591,211,3,40.7224958949097
4248,2031,10,36.9687660010241
3144,1482,4,40.4479578392622
3805,1609,11,33.7885685381892
3004,1147,3,45.4790823211876
1322,639,2,50.1022494887526
1847,706,5,50.3944773175542
4266,3153,6,43.1840796019901
2189,897,8,39.2572944297082
2508,549,6,44.0727699530516
2581,451,10,32.9704510108865
2865,519,11,33.952528379773
1601,523,4,50.0986193293886
953,406,1,43.7229437229437
2490,901,4,42.0353982300885
2764,1271,3,42.4041297935103
1803,540,5,45.3252032520325
2846,1881,6,44.8763250883392
2596,1447,4,45.7393483709273
2363,899,5,44.7040498442368
4480,2364,9,37.5907111756168
1807,261,2,41.6299559471366
2275,873,3,45.3034081463009
1546,147,3,40.8482142857143
1565,149,3,44.1704035874439
2497,369,8,35.1365275631118
